"misspec_setting","contrast","mean_diff","mcse_diff","lower","upper","mean_sigma_cor","mean_score_cor"
"correct_scale","SRS - plugin",0.0294758700801903,0.00200392102065507,0.0255481848797063,0.0334035552806742,0.998296682740854,0.998438485958122
"correct_scale","homo - plugin",0.0153619370216099,0.00141768279337407,0.0125832787465967,0.0181405952966231,0.998296682740854,0.998438485958122
"correct_scale","plugin - oracle",-0.00053825300145207,0.00099081063038522,-0.0024802418370071,0.00140373583410296,0.998296682740854,0.998438485958122
"mild_omitted","SRS - plugin",0.0265168760918457,0.00197887849060153,0.0226382742502667,0.0303954779334247,0.946940893347529,0.948165126170454
"mild_omitted","homo - plugin",0.0124029430332653,0.00151595560659143,0.00943167004434611,0.0153742160221845,0.946940893347529,0.948165126170454
"mild_omitted","plugin - oracle",0.00242074098689251,0.00105481673062273,0.00035330019487195,0.00448818177891307,0.946940893347529,0.948165126170454
"severe_omitted","SRS - plugin",0.0149254838855052,0.00222873364525986,0.0105571659407959,0.0192938018302145,0.0872327309889299,0.549006975924831
"severe_omitted","homo - plugin",0.000811550826924811,0.00182606660447445,-0.00276753971784511,0.00439064137169473,0.0872327309889299,0.549006975924831
"severe_omitted","plugin - oracle",0.014012133193233,0.00143210037342571,0.0112052164613186,0.0168190499251474,0.0872327309889299,0.549006975924831
