"method","misspec_setting","mean_excess_risk","mcse_excess_risk","mean_pred_mse","mean_sigma_cor","mean_score_cor"
"FULL","baseline",0.00781349806224331,0,0.00831835570613561,NA,NA
"SRS","baseline",0.0649387239114331,0.00183036298792202,0.0679509250930191,NA,NA
"LEV-IPW","baseline",0.0467799200754975,0.00106006276637289,0.0485041681136911,NA,NA
"OPT-homo","baseline",0.0508247908528527,0.00124295020127393,0.0528145788613862,NA,NA
"OPT-hetero-oracle","baseline",0.0360011068326949,0.000678859248544608,0.0371360832856953,NA,NA
"plugin-correct","correct_scale",0.0354628538312428,0.000700265374747458,0.0365965879653853,0.998296682740854,0.998438485958122
"plugin-mild","mild_omitted",0.0384218478195874,0.000828127667135736,0.0395923497106462,0.946940893347529,0.948165126170454
"plugin-severe","severe_omitted",0.0500132400259279,0.00124676136707228,0.0520068011943356,0.0872327309889299,0.549006975924831
