"misspec_setting","contrast","mean_diff","mcse_diff","lower","upper","mean_sigma_cor","mean_score_cor"
"correct_scale","SRS - plugin",0.0050118102784519,0.000606832957297566,0.00382241768214867,0.00620120287475513,0.999336681295428,0.998597245924031
"correct_scale","homo - plugin",0.00378504842453139,0.000551718658159185,0.00270367985453939,0.0048664169945234,0.999336681295428,0.998597245924031
"correct_scale","plugin - oracle",0.000219823383142188,0.000503643800225153,-0.000767318465299112,0.00120696523158349,0.999336681295428,0.998597245924031
"variance_linear","SRS - plugin",0.00515258681766005,0.00060516609607266,0.00396646126935764,0.00633871236596247,0.951537190217748,0.931453599034206
"variance_linear","homo - plugin",0.00392582496373954,0.00056572227481408,0.00281700930510395,0.00503464062237514,0.951537190217748,0.931453599034206
"variance_linear","plugin - oracle",7.90468439340372e-05,0.000481237540363538,-0.000864178735178497,0.00102227242304657,0.951537190217748,0.931453599034206
"mild_omitted","SRS - plugin",0.00362244284251766,0.000638901137298562,0.00237019661341248,0.00487468907162284,0.669938549131627,0.715090790267631
"mild_omitted","homo - plugin",0.00239568098859715,0.000602702198482047,0.00121438467957234,0.00357697729762196,0.669938549131627,0.715090790267631
"mild_omitted","plugin - oracle",0.00160919081907643,0.000557388349516675,0.000516709654023748,0.00270167198412911,0.669938549131627,0.715090790267631
"severe_omitted","SRS - plugin",0.00289516361559905,0.000634397159178772,0.00165174518360866,0.00413858204758945,0.441074692950815,0.581252630989323
"severe_omitted","homo - plugin",0.00166840176167854,0.000590425753624617,0.000511167284574293,0.00282563623878279,0.441074692950815,0.581252630989323
"severe_omitted","plugin - oracle",0.00233647004599504,0.000546765242837571,0.0012648101700334,0.00340812992195668,0.441074692950815,0.581252630989323
