"method","misspec_setting","mean_excess_risk","mcse_excess_risk","mean_pred_mse","mean_sigma_cor","mean_score_cor"
"FULL","baseline",0.000777389135345694,0,0.000772557718032471,NA,NA
"SRS","baseline",0.0223326678846489,0.000487793273078485,0.0223294040862973,NA,NA
"LEV-IPW","baseline",0.020382408801958,0.000450488794257344,0.0203943010366115,NA,NA
"OPT-homo","baseline",0.0211059060307284,0.000435791744433497,0.0211591509431974,NA,NA
"OPT-hetero-oracle","baseline",0.0171010342230548,0.000363260134066416,0.017125193899542,NA,NA
"plugin-correct","correct_scale",0.017320857606197,0.000358794539168872,0.017367026770511,0.999336681295428,0.998597245924031
"plugin-mild","mild_omitted",0.0188990522436649,0.000386274941984522,0.018936090294762,0.669938549131627,0.715090790267631
"plugin-severe","severe_omitted",0.0197524384330979,0.00043043070649373,0.0197531277805845,0.441074692950815,0.581252630989323
