"method","misspec_setting","n0","mean_pred_mse_N","mcse_pred_mse_N","mean_param_mse_N","mean_sigma_cor","mean_score_cor"
"rf-full","correct_scale",400,191.917928560377,4.478892958517,48.366031272177,0.643708639450106,0.73171481928867
"rf-mild","mild_omitted",400,196.585988668538,4.55114710761536,49.0200277088428,0.404691691313578,0.563547555142016
"rf-severe","severe_omitted",400,224.404899051721,5.18261410025965,56.6984212117239,0.181862505135197,0.340536185343305
"FULL","baseline",500,7.29642310872247,0,2.49805440914958,NA,NA
"SRS","baseline",500,214.782608369817,4.9910341714404,51.8421889873307,NA,NA
"LEV-IPW","baseline",500,200.967643444734,4.61480138479999,51.1596360781365,NA,NA
"OPT-homo","baseline",500,206.378284542326,5.22746675399358,51.0941999221033,NA,NA
"OPT-hetero-oracle","baseline",500,166.192677619086,3.68887485010984,43.3359262824204,NA,NA
"param-correct","correct_scale",500,165.236566001523,3.90791127755807,42.116987446692,0.999756401766158,0.999586892206923
"param-mild","mild_omitted",500,188.186803200181,4.21061755499908,49.1572318334238,0.670985941333164,0.71749513391602
"param-severe","severe_omitted",500,195.892576228081,4.58679079145513,48.2968098072245,0.461661630399934,0.589951348799888
"rf-full","correct_scale",500,178.743341387308,4.52744914376837,45.9777117643968,0.665745843560271,0.749560690279149
"rf-mild","mild_omitted",500,191.689490737667,4.49486261525462,49.0834718539132,0.420463446128708,0.576716723300696
"rf-severe","severe_omitted",500,219.730167642499,4.95122140340827,56.7147120239036,0.190908704775011,0.348106427148654
