"misspec_setting","n0","contrast","mean_diff","mcse_diff","lower","upper","mean_sigma_cor","mean_score_cor"
"mild_omitted",100,"homo - plugin",5.72695106758665,6.48898180385367,-6.99145326796653,18.4453554031398,0.271931066194127,0.450260720108416
"severe_omitted",100,"plugin - oracle",60.2483380650661,7.03025671724476,46.4690348992664,74.0276412308659,0.123738776236319,0.286994256719468
"severe_omitted",100,"homo - plugin",-32.8777175831507,7.49763250164871,-47.5730772863822,-18.1823578799192,0.123738776236319,0.286994256719468
"correct_scale",200,"plugin - oracle",2.40818589790379,5.45100485871775,-8.275783625183,13.0921554209906,0.999336681295428,0.998597245924031
"correct_scale",200,"homo - plugin",37.6102536062477,6.20625130450687,25.4460010494143,49.7745061630812,0.999336681295428,0.998597245924031
"mild_omitted",200,"plugin - oracle",19.8286872226844,5.51841883269785,9.01258631059665,30.6447881347722,0.669938549131627,0.715090790267631
"mild_omitted",200,"homo - plugin",20.1897522814671,6.58979012505659,7.27376363635615,33.105740926578,0.669938549131627,0.715090790267631
"severe_omitted",200,"plugin - oracle",24.1035243478772,6.30214368937321,11.7513227167057,36.4557259790487,0.441074692950815,0.581252630989323
"severe_omitted",200,"homo - plugin",15.9149151562743,6.88701694220362,2.41636194955517,29.4134683629934,0.441074692950815,0.581252630989323
"correct_scale",200,"plugin - oracle",14.5989535615041,5.73044470588267,3.36728193797402,25.8306251850341,0.559027748094907,0.663315726790014
"correct_scale",200,"homo - plugin",25.4194859426475,6.44072204634032,12.7956707318204,38.0433011534745,0.559027748094907,0.663315726790014
"mild_omitted",200,"plugin - oracle",26.7452139536752,5.96326824703358,15.0572081894894,38.433219717861,0.342381330691854,0.511607336867791
"mild_omitted",200,"homo - plugin",13.2732255504763,6.78003797853735,-0.0156488874569014,26.5620999884095,0.342381330691854,0.511607336867791
"severe_omitted",200,"plugin - oracle",55.4195270531379,6.62753445775465,42.4295595159387,68.409494590337,0.152171260614971,0.31472933812093
"severe_omitted",200,"homo - plugin",-15.4010875489864,7.13198310078527,-29.3797744265255,-1.42240067144725,0.152171260614971,0.31472933812093
"correct_scale",300,"plugin - oracle",5.87748180321436,5.32882955646928,-4.56702412746543,16.3219877338941,0.999573730617956,0.999217207652703
"correct_scale",300,"homo - plugin",34.6617384173397,6.08003936218122,22.7448612674645,46.5786155672149,0.999573730617956,0.999217207652703
"mild_omitted",300,"plugin - oracle",15.7023438037592,5.80474364862233,4.32504625245944,27.079641355059,0.670450520451161,0.716676344595181
"mild_omitted",300,"homo - plugin",24.8368764167949,6.49615200378606,12.1044184893742,37.5693343442156,0.670450520451161,0.716676344595181
"severe_omitted",300,"plugin - oracle",28.3845089546479,5.91792661734499,16.7853727846517,39.9836451246441,0.457516605614836,0.587144606130271
"severe_omitted",300,"homo - plugin",12.1547112659062,6.5633332483759,-0.709421900910575,25.018844432723,0.457516605614836,0.587144606130271
"correct_scale",300,"plugin - oracle",27.3743434634626,5.98627872994367,15.641237152773,39.1074497741521,0.607984136632907,0.703444868479415
"correct_scale",300,"homo - plugin",13.1648767570915,6.82626248305647,-0.214597709699134,26.5443512238822,0.607984136632907,0.703444868479415
"mild_omitted",300,"plugin - oracle",26.4830474579396,6.0028228291911,14.717514712725,38.2485802031541,0.376441469180225,0.540684333036157
"mild_omitted",300,"homo - plugin",14.0561727626145,6.51027442676863,1.29603488614801,26.816310639081,0.376441469180225,0.540684333036157
"severe_omitted",300,"plugin - oracle",58.6702056383375,6.06283095995219,46.7870569568312,70.5533543198438,0.168725693339501,0.329404766304592
"severe_omitted",300,"homo - plugin",-18.1309854177834,6.68143301741902,-31.2265941319247,-5.03537670364214,0.168725693339501,0.329404766304592
"correct_scale",400,"plugin - oracle",-5.17838128399812,5.7572281467993,-16.4625484517248,6.10578588372851,0.999708767994407,0.999497578007633
"correct_scale",400,"homo - plugin",33.2796967254138,6.49902770919129,20.5416024153988,46.0177910354287,0.999708767994407,0.999497578007633
"mild_omitted",400,"plugin - oracle",15.486312203299,5.72169064573398,4.27179853766043,26.7008258689376,0.670845908547976,0.717227493774207
"mild_omitted",400,"homo - plugin",12.6150032381166,6.5702892578135,-0.262763707197854,25.4927701834311,0.670845908547976,0.717227493774207
"severe_omitted",400,"plugin - oracle",22.9447230756279,5.61243972832042,11.9443412081199,33.9451049431359,0.461575036009443,0.589295621803688
"severe_omitted",400,"homo - plugin",5.15659236578777,6.5059063435589,-7.59498406758768,17.9081687991632,0.461575036009443,0.589295621803688
"correct_scale",400,"plugin - oracle",19.2919540179351,5.77661702749608,7.96978464404282,30.6141233918275,0.643708639450106,0.73171481928867
"correct_scale",400,"homo - plugin",8.8093614234805,6.67033241554986,-4.26449011099723,21.8832129579582,0.643708639450106,0.73171481928867
"mild_omitted",400,"plugin - oracle",23.9600141260962,5.84336433827652,12.5070200230743,35.4130082291182,0.404691691313578,0.563547555142016
"mild_omitted",400,"homo - plugin",4.1413013153194,6.77497364395563,-9.13764702683364,17.4202496574724,0.404691691313578,0.563547555142016
"severe_omitted",400,"plugin - oracle",51.7789245092791,6.52640379161906,38.9871730777057,64.5706759408524,0.181862505135197,0.340536185343305
"severe_omitted",400,"homo - plugin",-23.6776090678634,6.994436406139,-37.3867044238959,-9.96851371183099,0.181862505135197,0.340536185343305
"correct_scale",500,"plugin - oracle",-0.956111617563482,5.34527936059505,-11.4328591643298,9.52063592920281,0.999756401766158,0.999586892206923
"correct_scale",500,"homo - plugin",41.1417185408034,6.55705924063112,28.2898824291664,53.9935546524403,0.999756401766158,0.999586892206923
"mild_omitted",500,"plugin - oracle",21.994125581095,5.48544258642108,11.2426581117097,32.7455930504803,0.670985941333164,0.71749513391602
"mild_omitted",500,"homo - plugin",18.1914813421448,6.89632062910976,4.6746929090897,31.7082697752,0.670985941333164,0.71749513391602
"severe_omitted",500,"plugin - oracle",29.6998986089946,5.79914446209413,18.3335754632901,41.0662217546991,0.461661630399934,0.589951348799888
"severe_omitted",500,"homo - plugin",10.4857083142453,7.08095510682042,-3.39296369512277,24.3643803236133,0.461661630399934,0.589951348799888
"correct_scale",500,"plugin - oracle",12.5506637682217,5.83464151907205,1.11476639084044,23.9865611456029,0.665745843560271,0.749560690279149
"correct_scale",500,"homo - plugin",27.6349431550182,7.07818480292665,13.761700941282,41.5081853687545,0.665745843560271,0.749560690279149
"mild_omitted",500,"plugin - oracle",25.4968131185814,5.78818252368693,14.151975372155,36.8416508650078,0.420463446128708,0.576716723300696
"mild_omitted",500,"homo - plugin",14.6887938046585,6.91231238773655,1.14066152469487,28.2369260846221,0.420463446128708,0.576716723300696
"severe_omitted",500,"plugin - oracle",53.5374900234132,6.26427471640118,41.2595115792668,65.8154684675595,0.190908704775011,0.348106427148654
"severe_omitted",500,"homo - plugin",-13.3518831001733,6.83917404616309,-26.756664230653,0.052898030306352,0.190908704775011,0.348106427148654
